index,AvgUnitsShipped,StdUnitsShipped,MinUnitsShipped,MaxUnitsShipped,AvgNetAmount,StdNetAmount,MinNetAmount,MaxNetAmount,NumberOfTransactions,NumberOfTransactionDays,GLCategory
6135,0.37931,0.49380397379124,0.0,1.0,9.101379,11.8756099765558,0.0,24.66,29,26,Packaged Grocery
5482,1.3125,0.8957786304878621,0.0,4.0,8.533437,5.819014776034661,0.0,26.08,32,29,Vitamins
6720,1.043554,0.3709389810767721,0.0,6.0,20.775617999999998,7.315827228628019,0.0,99.48,1148,264,Packaged Tea
112,1.0378180000000001,0.29309552837283304,0.0,3.0,15.696887,4.38350214231489,0.0,44.94,1375,273,Refrigerated Grocery
6608,0.470588,0.8744746321952059,0.0,2.0,7.4423520000000005,13.912549878352499,0.0,34.66,17,12,Packaged Grocery
6038,2.541095,3.46634401923801,0.0,36.0,10.91,14.2874915633366,0.0,148.32,146,105,Body Care
3044,1.002732,0.052270837348931,1.0,2.0,26.819781,2.0529422804568602,22.84,48.16,366,198,Packaged Grocery
779,1.038135,0.34269309129868797,0.0,5.0,14.434532999999998,4.819838448512731,0.0,73.25,472,213,Packaged Tea
4300,0.6,0.516397779494322,0.0,1.0,14.586,12.553799955923,0.0,24.39,10,10,Packaged Grocery
5814,0.9238700000000001,0.472100681101614,0.0,6.0,30.788541,15.671960339873099,0.0,191.52,775,242,Frozen
3680,0.526501,0.58513269619804,0.0,3.0,19.601201,25.1682891350229,0.0,137.13,283,137,Packaged Grocery
4322,0.70886,0.482876168910136,0.0,2.0,14.837720999999998,10.061430733550301,0.0,38.34,158,105,Packaged Grocery
6113,1.666666,0.8785953702139591,0.0,4.0,9.59552,5.048124168502,0.0,23.36,96,78,Vitamins
4699,1.0,0.0,1.0,1.0,26.041034,5.66132073486867,0.0,30.33,29,28,Packaged Grocery
